is_prime_time,is_prime_space,is_most_proposed,freq,airing_time_hour,title,genres,mean_row,mean_col,median_row,media_col,count
False,False,False,0.008770245182766789,7,Equinox,Drama+Fantasy+Mystery+Thriller,4.275280898876405,4.044943820224719,4.0,4.0,178
False,False,False,0.0003200819409768901,11,Quicksand,Drama,18.833333333333332,6.366666666666666,16.5,3.0,30
False,False,False,0.00019204916458613405,13,World's Most Wanted,Documentary+Crime,4.475409836065574,7.060109289617486,3,5,183
False,False,False,0.00012803277639075603,15,No Gogó do Paulinho,Comedy,6.981132075471698,5.773584905660377,6,5,53
False,False,False,0.00019204916458613405,4,Who Killed Little Gregory?,Documentary+Crime,8.51063829787234,6.035460992907802,5,4,141
False,False,False,0.0008322130465399142,7,Mank,Biography+Comedy+Drama,5.504065040650406,6.959349593495935,5,4,123
False,False,False,0.0005761474937584022,5,Mowgli: Legend of the Jungle,Adventure+Drama+Fantasy,10.33673469387755,7.959183673469388,7.5,5.0,98
False,False,False,0.008898277959157545,9,The Midnight Sky,Drama+Fantasy+Sci-Fi+Thriller,5.123505976095617,2.3446215139442232,4.0,2.0,502
True,False,False,0.00025606555278151206,19,The Woods,Crime+Drama+Mystery+Thriller,5.431972789115647,4.329931972789115,4.0,4.0,294
False,False,False,0.014275654567569298,3,Tiny Pretty Things,Drama+Mystery+Thriller,4.34720908230842,3.975402081362346,4,4,1057
False,False,False,0.0015363933166890724,0,Elite,Crime+Drama+Thriller,6.655765920826162,5.981067125645439,6,4,581
False,False,False,0.012099097368926445,8,Cobra Kai,Action+Comedy+Drama+Sport,5.509635974304069,4.173447537473233,4.0,3.0,934
False,False,False,0.0016644260930798285,4,Sex Education,Comedy+Drama,7.865561694290976,6.867403314917127,7,5,543
False,False,False,0.0009602458229306702,14,Big Mouth,Animation+Comedy+Romance,6.944915254237288,4.262711864406779,5.0,4.0,472
False,False,False,0.0003840983291722681,12,Young Wallander,Crime+Drama+Mystery+Thriller,5.3628318584070795,7.300884955752212,4.0,4.0,226
False,False,False,0.0003840983291722681,17,Ragnarok,Drama+Fantasy,12.970588235294118,5.352941176470588,9.0,2.0,102
False,False,False,0.0014723769284936943,8,Mosul,Action+Drama+War,4.087947882736156,3.550488599348534,3,3,307
False,False,False,0.0006401638819537802,1,The Rain,Sci-Fi+Thriller,6.893305439330544,4.864016736401673,4.0,3.0,478
False,False,False,0.00012803277639075603,4,How to Sell Drugs Online (Fast),Comedy+Crime+Drama+Romance,7.2076502732240435,3.9644808743169397,5.0,3.0,366
False,False,False,0.0008962294347352923,11,Baby,Short+Drama,6.407960199004975,7.437810945273632,4,4,201
False,False,False,0.00044811471736764613,17,Top Boy,Crime+Drama+Thriller,9.069620253164556,5.284810126582278,7.0,5.0,158
False,False,False,0.0003840983291722681,18,Don't Listen,Horror+Thriller,5.047169811320755,5.235849056603773,4.0,4.0,106
False,False,False,0.00044811471736764613,17,The English Game,Drama+History+Sport,12.145348837209303,6.255813953488372,9.0,3.0,172
True,False,False,0.0008322130465399142,23,Suburra: Blood on Rome,Action+Crime,7.59144893111639,7.104513064133017,6,5,421
